,PR,PR_ID,PR_TYPE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
13,湖南省,430000,省,0.378015225,0.35814105,0.365777339,0.484002964,0.518701359,0.492998494,0.605343515,0.658117924,0.678596206,0.717013635,0.84537693,0.968798818,1.022781441,0.975123063,1.076400655,1.167153571,1.164345417,0.954984591,1.399848029,1.481893309,1.540189633,2.061562277,1.952766385,1.952662554,2.058244408,3.056701104,3.109928593,3.3388757,3.032938978,3.291259845,7.312085018,
14,吉林省,220000,省,0.720183438,0.780664649,0.728910364,0.793804772,0.877608393,0.763158446,0.887858736,0.848087615,1.077233559,0.995136584,1.051005664,1.154760284,1.18825451,1.290475243,1.251824435,1.40585704,1.482964956,1.684474762,1.846810248,1.779020825,1.985456868,2.280989226,1.635217623,2.064554126,1.674716519,2.850375357,2.388607356,2.971782764,2.788482081,3.188090401,8.284628113,
15,江苏省,320000,省,4.304993148,4.479010249,4.845631237,5.881048426,5.754859007,5.835758816,6.067147903,5.97211982,6.086979599,6.151039355,7.645770203,8.838557449,9.089488719,9.590502017,10.93636486,11.55378202,12.21822586,10.32396595,14.48164482,14.62276351,14.39841925,16.28882863,17.26749146,17.31719133,17.17317751,22.47613441,22.34569879,24.8709637,22.69008839,23.76800533,28.50269211,
16,江西省,360000,省,0.383842075,0.384279424,0.388209568,0.455716982,0.473204925,0.461126921,0.52654345,0.571428571,0.54965102,0.62093281,0.81334212,1.054530749,1.095737351,1.010741994,1.104801845,1.243081808,1.284941437,1.049923614,1.512404517,1.617553845,1.696228619,2.036401761,1.755839799,1.791983944,1.84074529,2.89824162,3.015385076,3.326657281,3.45085351,4.146963133,7.952060827,
17,辽宁省,210000,省,2.114630804,2.184756851,2.010140495,2.225197308,2.407766728,2.263700133,2.462141926,2.330659807,2.767592274,2.803138017,2.725072408,3.029462797,3.092081367,3.313403412,3.419318251,3.724822609,3.721689993,4.032561657,4.664627766,4.626725808,5.139462189,5.221072246,5.060194843,5.337822967,4.598289213,6.316866844,6.6490457,7.364949804,6.497461963,7.448206499,13.01635549,
18,内蒙古自治区,150000,自治区,0.098517624,0.126135473,0.119011552,0.128674745,0.133678244,0.124224475,0.139135496,0.136101459,0.163205346,0.168202737,0.187272578,0.230785743,0.248654884,0.275208159,0.308833872,0.33945609,0.366067829,0.396588825,0.499720767,0.523302833,0.61908485,0.607090937,0.468466786,0.445325385,0.414303515,0.603622345,0.591202602,0.728366891,0.707682871,0.790673648,2.221295362,
19,宁夏回族自治区,640000,自治区,0.654596208,0.765116951,0.734064876,0.882856868,0.953604774,0.881721051,0.923553759,0.944441236,0.999383964,1.060872076,1.161228222,1.409433054,1.489979786,1.584291077,1.812782751,1.810126095,1.955279623,2.008008471,2.675137164,2.677697565,3.065742612,3.071614207,3.344287227,3.032418905,3.168351141,4.305592454,4.260737318,4.589912407,4.493922758,5.134566118,8.800847539,
20,青海省,630000,省,0.019107924,0.024770966,0.02393407,0.026776358,0.028915251,0.027077813,0.030263184,0.031077112,0.038672336,0.045050257,0.048321758,0.056349067,0.057496031,0.062434146,0.069680544,0.071364384,0.077855709,0.078464361,0.099527434,0.100805028,0.122669109,0.134009549,0.126890911,0.127859872,0.123747168,0.176760137,0.183328979,0.202548872,0.222943788,0.263437133,0.618293994,
21,山东省,370000,省,3.759060956,4.362444557,4.336516284,5.082099861,5.103370929,5.12705614,5.294595108,5.214592574,5.443815739,5.857933088,6.264630592,7.008528704,7.285850969,7.613350653,8.775491066,8.592820935,8.376283107,8.363185908,9.538030668,9.490127994,9.889405652,10.64465847,10.09931568,10.34149031,9.951926245,15.25407426,15.6486567,17.41324927,15.85409672,17.28125911,21.99172674,
22,山西省,140000,省,2.02452622,2.3617442,2.510764108,2.765358389,2.626155348,2.540125406,2.487992039,2.3397312,2.39028902,2.517959316,2.674716625,2.882784444,3.110039484,3.267026427,3.505393217,3.230763343,3.343960299,3.208667419,3.954353803,3.894355461,4.394224697,4.406229468,4.417130719,4.166637962,3.560939204,5.207933865,5.385141385,6.235483603,6.087342789,6.595448863,10.56945968,
23,陕西省,610000,省,0.702647737,0.749729972,0.736651843,0.965212568,0.95103,1.001372036,1.078206039,1.067438964,1.128153979,1.168273862,1.312736579,1.428863351,1.533201319,1.674350716,1.915984703,1.873573229,2.087284829,2.04624539,2.798057742,2.579281287,2.888607238,2.998637695,3.180948164,2.997888427,2.741380988,3.816706725,3.852073136,4.170351377,3.916049178,4.241829938,7.300160069,
